FechaID,Fecha,Anio,Mes,NombreMes,Trimestre,Dia
356,2017-12-22,2017,12,December,Qtr 4,22
357,2017-12-23,2017,12,December,Qtr 4,23
358,2017-12-24,2017,12,December,Qtr 4,24
359,2017-12-25,2017,12,December,Qtr 4,25
360,2017-12-26,2017,12,December,Qtr 4,26
361,2017-12-27,2017,12,December,Qtr 4,27
362,2017-12-28,2017,12,December,Qtr 4,28
363,2017-12-29,2017,12,December,Qtr 4,29
364,2017-12-30,2017,12,December,Qtr 4,30
365,2017-12-31,2017,12,December,Qtr 4,31
366,2018-01-01,2018,1,January,Qtr 1,1
367,2018-01-02,2018,1,January,Qtr 1,2
368,2018-01-03,2018,1,January,Qtr 1,3
369,2018-01-04,2018,1,January,Qtr 1,4
370,2018-01-05,2018,1,January,Qtr 1,5
371,2018-01-06,2018,1,January,Qtr 1,6
372,2018-01-07,2018,1,January,Qtr 1,7
373,2018-01-08,2018,1,January,Qtr 1,8
374,2018-01-09,2018,1,January,Qtr 1,9
375,2018-01-10,2018,1,January,Qtr 1,10
376,2018-01-11,2018,1,January,Qtr 1,11
377,2018-01-12,2018,1,January,Qtr 1,12
378,2018-01-13,2018,1,January,Qtr 1,13
379,2018-01-14,2018,1,January,Qtr 1,14
380,2018-01-15,2018,1,January,Qtr 1,15
381,2018-01-16,2018,1,January,Qtr 1,16
382,2018-01-17,2018,1,January,Qtr 1,17
383,2018-01-18,2018,1,January,Qtr 1,18
384,2018-01-19,2018,1,January,Qtr 1,19
385,2018-01-20,2018,1,January,Qtr 1,20
386,2018-01-21,2018,1,January,Qtr 1,21
387,2018-01-22,2018,1,January,Qtr 1,22
388,2018-01-23,2018,1,January,Qtr 1,23
389,2018-01-24,2018,1,January,Qtr 1,24
390,2018-01-25,2018,1,January,Qtr 1,25
391,2018-01-26,2018,1,January,Qtr 1,26
392,2018-01-27,2018,1,January,Qtr 1,27
393,2018-01-28,2018,1,January,Qtr 1,28
394,2018-01-29,2018,1,January,Qtr 1,29
395,2018-01-30,2018,1,January,Qtr 1,30
